Date,Bloomberg Barclays Euro Government Inflation-Linked Bond All Maturities
20-10-2021,245.5767
19-10-2021,245.5991
18-10-2021,246.5778
15-10-2021,246.0665
14-10-2021,245.5304
13-10-2021,244.6908
12-10-2021,244.18
11-10-2021,243.9861
08-10-2021,244.2254
07-10-2021,244.4265
06-10-2021,244.5338
05-10-2021,245.6164
04-10-2021,244.4581
01-10-2021,244.2816
30-09-2021,243.2968
29-09-2021,243.8715
28-09-2021,243.8992
27-09-2021,243.6943
24-09-2021,242.9759
23-09-2021,243.8784
22-09-2021,244.4729
21-09-2021,244.1745
20-09-2021,243.7885
17-09-2021,244.0341
16-09-2021,244.1736
15-09-2021,244.2594
14-09-2021,244.6835
13-09-2021,245.3251
10-09-2021,244.9114
09-09-2021,244.9748
08-09-2021,243.6903
07-09-2021,243.345
06-09-2021,244.4994
03-09-2021,243.2417
02-09-2021,242.9448
01-09-2021,242.1377
31-08-2021,242.4005
30-08-2021,243.5731
27-08-2021,243.0236
26-08-2021,242.6975
25-08-2021,243.0917
24-08-2021,244.1535
23-08-2021,243.8255
20-08-2021,243.8854
19-08-2021,243.8839
18-08-2021,244.2142
17-08-2021,244.0181
16-08-2021,244.008
13-08-2021,244.2684
12-08-2021,244.2762
11-08-2021,243.5949
10-08-2021,243.6243
09-08-2021,242.8851
06-08-2021,243.0147
05-08-2021,243.699
04-08-2021,243.3568
03-08-2021,243.4833
02-08-2021,243.4605
30-07-2021,243.094
29-07-2021,242.7462
28-07-2021,241.7136
27-07-2021,241.4381
26-07-2021,240.7434
23-07-2021,240.3493
22-07-2021,239.8796
21-07-2021,239.4385
20-07-2021,239.2057
19-07-2021,238.8284
16-07-2021,239.1243
15-07-2021,238.5869
14-07-2021,238.3496
13-07-2021,238.1386
12-07-2021,237.7271
09-07-2021,237.7234
08-07-2021,237.5455
07-07-2021,238.2084
06-07-2021,238.3341
05-07-2021,237.2132
02-07-2021,237.3551
01-07-2021,236.7134
30-06-2021,236.4694
29-06-2021,235.8798
28-06-2021,235.484
25-06-2021,234.9068
24-06-2021,235.6509
23-06-2021,235.339
22-06-2021,235.1971
21-06-2021,234.7404
18-06-2021,235.0193
17-06-2021,235.8776
16-06-2021,237.2248
15-06-2021,237.3496
14-06-2021,237.6653
11-06-2021,238.0568
10-06-2021,237.2098
09-06-2021,237.1824
08-06-2021,236.5205
07-06-2021,236.49
04-06-2021,236.7627
03-06-2021,236.1136
02-06-2021,235.6148
01-06-2021,235.9813
31-05-2021,235.8517
28-05-2021,235.5661
27-05-2021,234.6015
26-05-2021,235.1438
25-05-2021,234.9905
24-05-2021,234.1511
21-05-2021,233.6936
20-05-2021,233.135
19-05-2021,233.3274
18-05-2021,234.141
17-05-2021,233.7014
14-05-2021,233.5509
13-05-2021,234.1983
12-05-2021,234.651
11-05-2021,234.3488
10-05-2021,234.7896
07-05-2021,234.2206
06-05-2021,234.2958
05-05-2021,234.384
04-05-2021,234.3699
03-05-2021,234.1336
30-04-2021,234.1013
29-04-2021,234.1324
28-04-2021,234.3162
27-04-2021,234.1428
26-04-2021,234.1215
23-04-2021,234.3964
22-04-2021,234.654
21-04-2021,234.9423
20-04-2021,234.6717
19-04-2021,234.4993
16-04-2021,234.5059
15-04-2021,235.1968
14-04-2021,234.9804
13-04-2021,235.4513
12-04-2021,235.6165
09-04-2021,235.7051
08-04-2021,236.4711
07-04-2021,236.1451
06-04-2021,236.1001
05-04-2021,236.466
02-04-2021,236.466
01-04-2021,236.466
31-03-2021,235.6084
30-03-2021,235.0318
29-03-2021,235.3494
26-03-2021,235.9566
25-03-2021,235.7928
24-03-2021,235.67
23-03-2021,234.4173
22-03-2021,233.9039
19-03-2021,233.37
18-03-2021,233.269
17-03-2021,233.5602
16-03-2021,234.9869
15-03-2021,234.5873
12-03-2021,234.0254
11-03-2021,234.1923
10-03-2021,233.1199
09-03-2021,233.0675
08-03-2021,232.3383
05-03-2021,232.71
04-03-2021,232.0252
03-03-2021,231.889
02-03-2021,232.437
01-03-2021,232.4276
26-02-2021,230.5014
25-02-2021,229.8151
24-02-2021,230.4722
23-02-2021,230.9727
22-02-2021,231.0456
19-02-2021,229.8874
18-02-2021,230.983
17-02-2021,232.2208
16-02-2021,232.7804
15-02-2021,232.678
12-02-2021,233.6044
11-02-2021,233.7199
10-02-2021,233.377
09-02-2021,233.5911
08-02-2021,233.8436
05-02-2021,233.9698
04-02-2021,234.2684
03-02-2021,234.7156
02-02-2021,234.1765
01-02-2021,234.0433
29-01-2021,233.3744
28-01-2021,233.4678
27-01-2021,233.1471
26-01-2021,232.9915
25-01-2021,232.8903
22-01-2021,232.4202
21-01-2021,232.7789
20-01-2021,234.0108
19-01-2021,233.9645
18-01-2021,233.5532
15-01-2021,233.8602
14-01-2021,233.5524
13-01-2021,234.0183
12-01-2021,232.7652
11-01-2021,233.3331
08-01-2021,233.8801
07-01-2021,233.3332
06-01-2021,233.0608
05-01-2021,232.8366
04-01-2021,232.778
01-01-2021,232.6102
31-12-2020,232.6102
30-12-2020,232.6264
29-12-2020,232.8442
28-12-2020,232.6553
25-12-2020,231.8102
24-12-2020,231.8102
23-12-2020,231.7925
22-12-2020,232.0224
21-12-2020,231.485
18-12-2020,232.3387
17-12-2020,232.8042
16-12-2020,232.6142
15-12-2020,232.9372
14-12-2020,232.8022
11-12-2020,232.5854
10-12-2020,232.5215
09-12-2020,232.6572
08-12-2020,232.8738
07-12-2020,232.501
04-12-2020,232.1889
03-12-2020,232.2743
02-12-2020,231.2649
01-12-2020,231.058
30-11-2020,231.2931
27-11-2020,231.341
26-11-2020,231.1567
25-11-2020,231.0809
24-11-2020,231.0233
23-11-2020,230.374
20-11-2020,229.9936
19-11-2020,229.895
18-11-2020,229.9169
17-11-2020,230.1769
16-11-2020,230.3046
13-11-2020,229.6852
12-11-2020,229.4394
11-11-2020,229.094
10-11-2020,228.41
09-11-2020,228.0074
06-11-2020,228.2558
05-11-2020,228.1595
04-11-2020,227.8633
03-11-2020,227.7187
02-11-2020,227.4201
30-10-2020,227.9362
29-10-2020,228.1354
28-10-2020,227.5717
27-10-2020,228.7218
26-10-2020,228.3171
23-10-2020,228.2232
22-10-2020,227.6092
21-10-2020,228.3841
20-10-2020,228.533
19-10-2020,228.3745
16-10-2020,228.6545
15-10-2020,227.9468
14-10-2020,228.2154
13-10-2020,228.0636
12-10-2020,228.0835
09-10-2020,227.8554
08-10-2020,227.1835
07-10-2020,226.5927
06-10-2020,226.416
05-10-2020,226.0721
02-10-2020,225.8874
01-10-2020,225.6281
30-09-2020,225.597
29-09-2020,225.9146
