,Interest Rate,Equity,Credit,Commodities,Emerging Market,Foreign Currency,Local Inflation,Equity Short Volatility,Regime,Tran. Prob. to state0,Tran. Prob. to state1,Tran. Prob. to state2,Tran. Prob. to state3
2000-01-04,0.0022111559544191,-0.0292402885581051,-0.0013182616428948,-0.0096040221788884,0.0006210574194695,0.0003595824290049,0.0006884586678328,-0.0178920520332113,1,0.0190076067755231,0.9783924733683756,0.002597824765692,2.0950904093343903e-06
2000-01-05,-0.0019606172599271,-0.01400065294946,-0.0038129261936143,-0.0096572626545796,-0.0010791361801578,0.00135059788268,-0.0006829269906836,0.0022353460747552,1,0.2059682145832387,0.7298331464558306,0.0034282551251629,0.0607703838357687
2000-01-06,-0.0001861484560299,-0.0113866034983098,0.000313041148781,-0.0005097917130907,0.0012498322443366,0.0014331081634577,-0.0021042438718898,0.0011324463714608,3,0.0516729579639147,0.2171186156067173,0.000327597411522,0.730880829017843
2000-01-07,0.0001707540334292,0.0228260497746219,0.0014417892846867,-0.0098614372329368,0.0029504346583437,-0.0008599539080132,-7.945732499070601e-05,0.0153605239936522,0,0.9017877234360528,0.0919524577782514,0.0035275678994404,0.0027322508862539
2000-01-10,-0.000391937843676,0.0119661341751067,0.0006247203212184,0.0067450663608115,-0.000260036376511,-0.0002406677562057,-0.0006479051678729,0.0051171076631595,3,0.0175251038398996,0.0027334376667543,1.2474056039731406e-05,0.9797289844373082
2000-01-11,-0.0032847782979086,-0.004152420491021,-0.0025336984854213,0.0189590044222747,-0.0032017665921911,0.0015744737001475,-0.000752873487154,-0.0032176163520531,3,0.0730212834204258,0.0388245791304856,0.0001378957379044,0.8880162417111812
2000-01-12,-0.00223731304626,-0.0054631822257773,-0.0004112900642549,0.0117888845506222,-0.0029545719447715,-5.645056200689197e-05,0.0021359797647138,-0.0008346767748896,3,0.0131110260820863,0.0133643262996306,1.963761409944426e-05,0.9735050100041812
2000-01-13,0.0025018221318164,0.009227976919921,0.0020845109481202,0.0071110768267157,0.0018457637561451,0.0026737255395549,0.0001523296046297,0.0052745580542516,3,0.019122176018863,0.0042965441510416,2.031034156825264e-05,0.9765609694885268
2000-01-14,-0.0058344816772963,0.0087889161012899,3.244458085238655e-05,0.0246770989836573,-0.0004922732248483,-0.0020720992389962,-0.0022938609103126,0.0037227643440118,3,0.180062904084235,0.006893938077813,0.0004714310190318,0.8125717268189203
2000-01-18,-0.0023305210143735,-0.0063761541069018,-0.0007283452198953,0.018541978846323,0.0011720261659009,-0.001116537197061,-0.0017827124261637,0.0001622507426528,3,0.0283307435584433,0.0129517656900678,3.042103437165609e-05,0.9586870697171206
2000-01-19,0.0007807449363355,-0.0048612553048279,0.0011327887351602,0.0049797837467222,0.0010273896961857,2.485420018067635e-05,-0.0003634148800903,0.0011188132019546,3,0.005898698382141,0.0101793842153572,7.106289345730003e-06,0.9839148111131568
2000-01-20,-0.0005013993769864,-0.0037740415010949,7.069286587935153e-05,0.0068478274524865,-0.0019540640617973,0.0011311364168566,0.00058584862124,0.0009071030021852,3,0.0057680139899023,0.0079034607841416,5.532957025247624e-06,0.9863229922689306
2000-01-21,0.0008092839835143,-0.0032763754754876,0.0008432683886128,0.0007380492035089,-0.0003975525828182,-0.001716810480138,0.0020292752029638,-0.0001943099573775,3,0.0025769371283575,0.0072274513329115,4.312577357466791e-06,0.990191298961376
2000-01-24,0.0003765936045754,-0.0133664681172422,0.0026941168354859,-0.0082758574804344,0.0013596905072358,-0.0007801491521426,0.0014158299894528,-0.014698350275407,1,0.0249940933766684,0.9733657595665268,0.0007292892358249,0.0009108578209833
2000-01-25,0.0027200784792826,-0.0039133010287226,0.0003051188854634,0.0108657530710774,-0.00277123041982,0.0005503020667236,0.0023365369479275,0.00521235752052,3,0.1749364272549006,0.106841837935768,0.0002428256873505,0.7179789091219783
2000-01-26,-0.0018500722750127,0.0019891369116962,0.0014675979754534,-0.0115992889499683,0.0014583705400525,-0.0016783011612192,0.00135164519825,-0.0012105152710786,3,0.0025484915615329,0.0205639282662878,1.6794300904778344e-05,0.976870785871277
2000-01-27,-0.00480885766141,0.0013137193890999,5.298697622335702e-05,-0.0077289352482949,-0.0017166766200245,-0.0007775822682501,0.0003863745968137,-0.0016545581927829,3,0.004704175489888,0.0374907267735251,5.317406784777433e-05,0.9577519236687362
2000-01-28,-0.0039197546742988,-0.0162830444032406,0.0005913354756414,-0.002775504090505,0.0017904967300023,-0.0041950883360741,-0.0011236602501512,-0.0208075095728199,1,0.0119703075156717,0.9842184443774236,0.0038112451146817,2.992221286574489e-09
2000-01-31,-0.0029976885751228,0.0018292593502122,-0.0008262382890658,0.0093939187014706,0.0010597099696991,0.0006174441429573,0.0049214939842876,0.0179342038713921,0,0.8557652122481073,0.1357671575588559,0.0084675885781903,4.1614845290058584e-08
2000-02-01,-0.0007448690521068,0.0078985940248097,0.0049881580641382,0.0142941641103213,0.0007073064166316,-0.0001786293838894,-0.00083599245509,0.0084648446959478,0,0.6240589462446655,0.045154676728232,0.0023083752664667,0.3284780017606363
2000-02-02,-0.0016117300000928,0.0056999418847896,-0.002352162323941,-0.0117219427162362,-0.0036600858611154,0.0021399681095248,0.0060488165916554,0.0006030625982438,3,0.1134920825520995,0.3577940340018568,0.0274639427831992,0.5012499406628451
2000-02-03,0.0070660037115892,0.0165768906446466,-0.0003160620516839,0.0087553246569926,0.00566265986504,-0.0024688035203547,0.0034959089289152,0.0080332145175514,0,0.9377187863425006,0.0205710601382669,0.0206617010652014,0.0210484524540302
2000-02-04,-0.0028855567782386,0.0021016610852289,-0.0017956236573912,0.0166084714257639,0.0031561297281846,-0.0001477415928582,-0.0021068192969266,0.0012115437354953,3,0.0277532568017815,0.0055937086597576,3.189465204826486e-05,0.9666211398864154
2000-02-07,-0.0039765708520596,-0.0034249695490142,-0.0009070124817898,-0.015340087410876,0.005032418738382,0.0013833800955476,-0.0002549013909574,0.0003389693749413,3,0.0028506708972673,0.0548226980869007,7.278680476649179e-05,0.9422538442110644
